date,sku,category,channel,price,discount_rate,units_sold,revenue,cogs,profit,marketing_spend,promotion_flag,inventory_level,day_of_week,month,quarter,is_weekend
2022-01-01,SKU-B03,Beauty,Mobile App,38.24,0.043,20,764.8,397.12,322.25,454.31,0,48,5,1,1,1
2022-01-01,SKU-G03,Grocery,In-Store,9.94,0.334,18,178.92,82.71,51.53,446.84,1,10,5,1,1,1
2022-01-01,SKU-E03,Electronics,In-Store,244.23,0.054,18,4396.14,1946.22,2404.28,456.35,0,82,5,1,1,1
2022-01-01,SKU-G04,Grocery,Mobile App,13.25,0.044,13,172.25,86.79,75.68,97.83,0,152,5,1,1,1
2022-01-01,SKU-S02,Sports,Online,122.14,0.054,22,2687.08,1156.36,1483.7,470.17,0,26,5,1,1,1
2022-01-01,SKU-B01,Beauty,In-Store,25.44,0.392,21,534.24,216.03,282.91,352.97,1,167,5,1,1,1
2022-01-01,SKU-A05,Apparel,Mobile App,50.42,0.133,26,1310.92,745.23,551.58,141.14,0,34,5,1,1,1
2022-01-01,SKU-E02,Electronics,In-Store,251.03,0.056,23,5773.69,2591.22,3175.95,65.17,0,179,5,1,1,1
2022-01-01,SKU-A03,Apparel,In-Store,44.15,0.292,10,441.5,235.16,169.8,365.42,1,158,5,1,1,1
2022-01-01,SKU-B03,Beauty,Wholesale,29.33,0.302,22,645.26,334.41,264.97,458.76,1,90,5,1,1,1
2022-01-01,SKU-G01,Grocery,Online,9.91,0.358,15,148.65,66.44,73.57,86.37,1,114,5,1,1,1
2022-01-01,SKU-H02,Home & Garden,In-Store,77.84,0.007,19,1478.96,852.72,592.58,336.56,0,170,5,1,1,1
2022-01-01,SKU-E03,Electronics,Mobile App,245.77,0.026,13,3195.01,1286.36,1867.8,408.52,0,24,5,1,1,1
2022-01-01,SKU-A01,Apparel,Mobile App,64.1,0.023,24,1538.4,791.72,732.71,139.74,0,60,5,1,1,1
2022-01-01,SKU-E02,Electronics,In-Store,229.74,0.164,13,2986.62,1344.4,1618.98,232.39,1,144,5,1,1,1
2022-01-01,SKU-S02,Sports,Mobile App,96.77,0.168,15,1451.55,839.5,595.66,163.94,1,51,5,1,1,1
2022-01-01,SKU-A02,Apparel,Mobile App,52.81,0.099,22,1161.82,604.09,522.5,352.31,0,150,5,1,1,1
2022-01-01,SKU-S02,Sports,Mobile App,113.23,0.13,19,2151.37,1147.19,966.76,374.16,0,185,5,1,1,1
2022-01-01,SKU-E04,Electronics,Mobile App,207.86,0.217,20,4157.2,1841.49,2281.59,341.23,1,140,5,1,1,1
2022-01-01,SKU-E02,Electronics,Online,231.3,0.056,17,3932.1,2321.34,1591.78,189.79,0,34,5,1,1,1
2022-01-02,SKU-A01,Apparel,In-Store,40.24,0.339,21,845.04,426.46,384.87,337.13,1,198,6,1,1,1
2022-01-02,SKU-S02,Sports,Wholesale,99.3,0.244,28,2780.4,1500.8,1238.12,414.8,1,13,6,1,1,1
2022-01-02,SKU-E02,Electronics,In-Store,242.99,0.024,22,5345.78,2449.6,2894.47,17.1,0,58,6,1,1,1
2022-01-02,SKU-G01,Grocery,Wholesale,10.1,0.326,24,242.4,145.08,75.88,214.39,1,168,6,1,1,1
2022-01-02,SKU-G01,Grocery,Online,8.86,0.39,25,221.5,111.68,70.09,397.34,1,130,6,1,1,1
2022-01-02,SKU-E05,Electronics,Wholesale,187.59,0.252,26,4877.34,2253.42,2620.62,32.95,1,115,6,1,1,1
2022-01-02,SKU-A04,Apparel,Online,50.99,0.096,21,1070.79,482.57,562.02,262.04,0,141,6,1,1,1
2022-01-02,SKU-E05,Electronics,Online,151.38,0.346,23,3481.74,1620.54,1819.81,413.9,1,137,6,1,1,1
2022-01-02,SKU-H03,Home & Garden,Mobile App,71.54,0.158,13,930.02,449.56,435.67,447.94,1,48,6,1,1,1
2022-01-02,SKU-A04,Apparel,Online,41.0,0.29,21,861.0,441.8,380.31,388.95,1,47,6,1,1,1
2022-01-02,SKU-E04,Electronics,In-Store,155.73,0.342,18,2803.14,1252.7,1549.65,7.92,1,197,6,1,1,1
2022-01-02,SKU-B02,Beauty,Mobile App,29.53,0.317,23,679.19,278.45,357.24,435.01,1,199,6,1,1,1
2022-01-02,SKU-H03,Home & Garden,In-Store,53.65,0.389,15,804.75,431.46,329.38,439.1,1,157,6,1,1,1
2022-01-02,SKU-S01,Sports,Online,121.46,0.026,11,1336.06,795.32,502.96,377.79,0,121,6,1,1,1
2022-01-02,SKU-A04,Apparel,Wholesale,53.52,0.088,25,1338.0,591.23,746.08,6.87,0,194,6,1,1,1
2022-01-03,SKU-G02,Grocery,Online,8.52,0.382,24,204.48,104.54,54.5,454.39,1,61,0,1,1,0
2022-01-03,SKU-E03,Electronics,Online,203.08,0.143,19,3858.52,1545.76,2267.75,450.08,0,194,0,1,1,0
2022-01-03,SKU-S04,Sports,Online,115.63,0.024,20,2312.6,1226.55,1042.76,432.89,0,124,0,1,1,0
2022-01-03,SKU-G03,Grocery,Wholesale,13.66,0.035,34,464.44,201.89,215.89,466.56,0,54,0,1,1,0
2022-01-03,SKU-H01,Home & Garden,Online,50.84,0.359,13,660.92,351.95,294.97,140.03,1,59,0,1,1,0
2022-01-03,SKU-H04,Home & Garden,Wholesale,70.59,0.06,20,1411.8,814.49,558.29,390.23,0,55,0,1,1,0
2022-01-03,SKU-B02,Beauty,In-Store,25.16,0.386,24,603.84,255.87,331.92,160.51,1,171,0,1,1,0
2022-01-03,SKU-E01,Electronics,In-Store,160.86,0.332,17,2734.62,1270.53,1435.36,287.34,1,140,0,1,1,0
2022-01-03,SKU-G02,Grocery,Online,10.49,0.3,30,314.7,142.67,157.05,149.77,1,140,0,1,1,0
2022-01-03,SKU-E05,Electronics,Online,166.49,0.275,16,2663.84,1131.87,1500.27,317.01,1,192,0,1,1,0
2022-01-03,SKU-H04,Home & Garden,Wholesale,58.8,0.27,30,1764.0,819.39,929.38,152.34,1,82,0,1,1,0
2022-01-03,SKU-B01,Beauty,Mobile App,23.61,0.37,16,377.76,176.19,194.03,75.45,1,27,0,1,1,0
2022-01-03,SKU-H02,Home & Garden,Online,66.86,0.149,28,1872.08,853.47,994.13,244.84,0,31,0,1,1,0
